	Freq	Rel.Freq
possible	2	0.000205655526992288
popular	2	0.000205655526992288
plan,	2	0.000205655526992288
physical	2	0.000205655526992288
period.	2	0.000205655526992288
perhaps	2	0.000205655526992288
percentage	2	0.000205655526992288
people?	2	0.000205655526992288
people,	2	0.000205655526992288
People	2	0.000205655526992288
paying	2	0.000205655526992288
Paul	2	0.000205655526992288
own.	2	0.000205655526992288
overrated.	2	0.000205655526992288
ought	2	0.000205655526992288
original	2	0.000205655526992288
ordinary	2	0.000205655526992288
Oracle	2	0.000205655526992288
options	2	0.000205655526992288
opposite	2	0.000205655526992288
opportunities	2	0.000205655526992288
one.	2	0.000205655526992288
on.	2	0.000205655526992288
ok.	2	0.000205655526992288
offices	2	0.000205655526992288
offer	2	0.000205655526992288
notice	2	0.000205655526992288
not.	2	0.000205655526992288
Not	2	0.000205655526992288
no.	2	0.000205655526992288
niche	2	0.000205655526992288
nerds	2	0.000205655526992288
negative	2	0.000205655526992288
near	2	0.000205655526992288
mystery	2	0.000205655526992288
mysterious	2	0.000205655526992288
must	2	0.000205655526992288
move	2	0.000205655526992288
More	2	0.000205655526992288
moral	2	0.000205655526992288
months	2	0.000205655526992288
MIT	2	0.000205655526992288
middle	2	0.000205655526992288
Microsoft	2	0.000205655526992288
message	2	0.000205655526992288
maximize	2	0.000205655526992288
matter	2	0.000205655526992288
market.	2	0.000205655526992288
major	2	0.000205655526992288
magically	2	0.000205655526992288
loved	2	0.000205655526992288
love,	2	0.000205655526992288
longer	2	0.000205655526992288
live	2	0.000205655526992288
Lisp.	2	0.000205655526992288
lessons	2	0.000205655526992288
least,	2	0.000205655526992288
law	2	0.000205655526992288
last	2	0.000205655526992288
large	2	0.000205655526992288
languages,	2	0.000205655526992288
language	2	0.000205655526992288
knows	2	0.000205655526992288
kinds	2	0.000205655526992288
kids	2	0.000205655526992288
judge	2	0.000205655526992288
job	2	0.000205655526992288
it:	2	0.000205655526992288
isn't	2	0.000205655526992288
IP	2	0.000205655526992288
investors,	2	0.000205655526992288
intellectual	2	0.000205655526992288
Instead	2	0.000205655526992288
inexpensive	2	0.000205655526992288
individual	2	0.000205655526992288
incorporating	2	0.000205655526992288
included	2	0.000205655526992288
improving	2	0.000205655526992288
impressive,	2	0.000205655526992288
impressed	2	0.000205655526992288
implement	2	0.000205655526992288
immediately	2	0.000205655526992288
ideas.	2	0.000205655526992288
Ideally	2	0.000205655526992288
hundred	2	0.000205655526992288
however,	2	0.000205655526992288
house	2	0.000205655526992288
hours,	2	0.000205655526992288
hope	2	0.000205655526992288
home	2	0.000205655526992288
him	2	0.000205655526992288
high	2	0.000205655526992288
hard.	2	0.000205655526992288
Hard,	2	0.000205655526992288
happy	2	0.000205655526992288
had,	2	0.000205655526992288
hackers.	2	0.000205655526992288
hackers,	2	0.000205655526992288
Hackers	2	0.000205655526992288
hacker.	2	0.000205655526992288
goes	2	0.000205655526992288
giant	2	0.000205655526992288
gets	2	0.000205655526992288
generate	2	0.000205655526992288
Gates,	2	0.000205655526992288
Gates	2	0.000205655526992288
future	2	0.000205655526992288
funding.	2	0.000205655526992288
friends	2	0.000205655526992288
friend	2	0.000205655526992288
four	2	0.000205655526992288
founders,	2	0.000205655526992288
Forbes	2	0.000205655526992288
follow."	2	0.000205655526992288
focus	2	0.000205655526992288
fix	2	0.000205655526992288
firm	2	0.000205655526992288
fifteen	2	0.000205655526992288
fewer	2	0.000205655526992288
feels	2	0.000205655526992288
feared	2	0.000205655526992288
fast.	2	0.000205655526992288
fast	2	0.000205655526992288
fails,	2	0.000205655526992288
fact	2	0.000205655526992288
expected	2	0.000205655526992288
expect	2	0.000205655526992288
execute.	2	0.000205655526992288
evidence	2	0.000205655526992288
everyone's	2	0.000205655526992288
established	2	0.000205655526992288
Erdos	2	0.000205655526992288
entirely	2	0.000205655526992288
enough	2	0.000205655526992288
end.	2	0.000205655526992288
else.	2	0.000205655526992288
elaborate	2	0.000205655526992288
either	2	0.000205655526992288
easy.	2	0.000205655526992288
each	2	0.000205655526992288
drives	2	0.000205655526992288
dollars.	2	0.000205655526992288
Do	2	0.000205655526992288
discriminate	2	0.000205655526992288
disagreements	2	0.000205655526992288
dinner.	2	0.000205655526992288
design	2	0.000205655526992288
description	2	0.000205655526992288
describe	2	0.000205655526992288
depends	2	0.000205655526992288
delay	2	0.000205655526992288
decisions	2	0.000205655526992288
deciding	2	0.000205655526992288
death	2	0.000205655526992288
dealing	2	0.000205655526992288
deal.	2	0.000205655526992288
dangerous	2	0.000205655526992288
cut	2	0.000205655526992288
currently	2	0.000205655526992288
current	2	0.000205655526992288
CS	2	0.000205655526992288
crap	2	0.000205655526992288
course	2	0.000205655526992288
copy	2	0.000205655526992288
convince	2	0.000205655526992288
consumer	2	0.000205655526992288
consulting	2	0.000205655526992288
connections	2	0.000205655526992288
company?	2	0.000205655526992288
companies.	2	0.000205655526992288
comes	2	0.000205655526992288
classes	2	0.000205655526992288
chunks	2	0.000205655526992288
check	2	0.000205655526992288
cheaper	2	0.000205655526992288
cheap,	2	0.000205655526992288
changed	2	0.000205655526992288
change	2	0.000205655526992288
chances	2	0.000205655526992288
chance	2	0.000205655526992288
cases	2	0.000205655526992288
care	2	0.000205655526992288
capital	2	0.000205655526992288
can.	2	0.000205655526992288
Cambridge	2	0.000205655526992288
call	2	0.000205655526992288
buy	2	0.000205655526992288
bunch	2	0.000205655526992288
brilliance	2	0.000205655526992288
brief	2	0.000205655526992288
brand	2	0.000205655526992288
bound	2	0.000205655526992288
both	2	0.000205655526992288
billion	2	0.000205655526992288
better,	2	0.000205655526992288
believe	2	0.000205655526992288
basis	2	0.000205655526992288
based	2	0.000205655526992288
back,	2	0.000205655526992288
away	2	0.000205655526992288
avoid	2	0.000205655526992288
attitude	2	0.000205655526992288
asking	2	0.000205655526992288
asked	2	0.000205655526992288
aren't.	2	0.000205655526992288
areas	2	0.000205655526992288
approached	2	0.000205655526992288
Apple	2	0.000205655526992288
apologize	2	0.000205655526992288
apartment	2	0.000205655526992288
anything	2	0.000205655526992288
Another	2	0.000205655526992288
animal	2	0.000205655526992288
angels	2	0.000205655526992288
amounts	2	0.000205655526992288
AM	2	0.000205655526992288
always	2	0.000205655526992288
already	2	0.000205655526992288
alone	2	0.000205655526992288
almost	2	0.000205655526992288
Allen	2	0.000205655526992288
All	2	0.000205655526992288
aim	2	0.000205655526992288
After	2	0.000205655526992288
Aeron	2	0.000205655526992288
advise	2	0.000205655526992288
advertisers	2	0.000205655526992288
actual	2	0.000205655526992288
act	2	0.000205655526992288
academic	2	0.000205655526992288
400	2	0.000205655526992288
40	2	0.000205655526992288
38,	2	0.000205655526992288
22,	2	0.000205655526992288
1998	2	0.000205655526992288
[9]	2	0.000205655526992288
[8]	2	0.000205655526992288
[7]	2	0.000205655526992288
[6]	2	0.000205655526992288
[5]	2	0.000205655526992288
[4]	2	0.000205655526992288
[3]	2	0.000205655526992288
[2]	2	0.000205655526992288
[1]	2	0.000205655526992288
$100,000,	2	0.000205655526992288
zero	1	0.000102827763496144
z?	1	0.000102827763496144
yourselves	1	0.000102827763496144
yourself,	1	0.000102827763496144
yourself	1	0.000102827763496144
younger	1	0.000102827763496144
young.	1	0.000102827763496144
young	1	0.000102827763496144
You?	1	0.000102827763496144
York	1	0.000102827763496144
Yes,	1	0.000102827763496144
yes	1	0.000102827763496144
years.	1	0.000102827763496144
year,	1	0.000102827763496144
Yeager.	1	0.000102827763496144
Yahoo."	1	0.000102827763496144
Yahoo,"	1	0.000102827763496144
Yahoo's	1	0.000102827763496144
y,	1	0.000102827763496144
y	1	0.000102827763496144
XML?)	1	0.000102827763496144
x,	1	0.000102827763496144
wrote	1	0.000102827763496144
wrong.	1	0.000102827763496144
wrong	1	0.000102827763496144
written	1	0.000102827763496144
write.	1	0.000102827763496144
wouldn't	1	0.000102827763496144
would-be	1	0.000102827763496144
worth.	1	0.000102827763496144
worse.	1	0.000102827763496144
worrying	1	0.000102827763496144
worried	1	0.000102827763496144
world.	1	0.000102827763496144
world	1	0.000102827763496144
works.	1	0.000102827763496144
works	1	0.000102827763496144
working,	1	0.000102827763496144
Working	1	0.000102827763496144
work?	1	0.000102827763496144
words	1	0.000102827763496144
Word	1	0.000102827763496144
wooden	1	0.000102827763496144
wonder	1	0.000102827763496144
wither	1	0.000102827763496144
with,	1	0.000102827763496144
wise	1	0.000102827763496144
Wired.	1	0.000102827763496144
winning	1	0.000102827763496144
willing	1	0.000102827763496144
Why	1	0.000102827763496144
who,	1	0.000102827763496144
who've	1	0.000102827763496144
who'd	1	0.000102827763496144
While	1	0.000102827763496144
Whereas	1	0.000102827763496144
where.	1	0.000102827763496144
whatever	1	0.000102827763496144
weren't	1	0.000102827763496144
were.	1	0.000102827763496144
were,	1	0.000102827763496144
welch	1	0.000102827763496144
weight,	1	0.000102827763496144
weight	1	0.000102827763496144
weighing	1	0.000102827763496144
week.	1	0.000102827763496144
week	1	0.000102827763496144
web	1	0.000102827763496144
weapon	1	0.000102827763496144
weakness	1	0.000102827763496144
we,	1	0.000102827763496144
water	1	0.000102827763496144
watching	1	0.000102827763496144
Watch	1	0.000102827763496144
watch	1	0.000102827763496144
wasting	1	0.000102827763496144
wasteland	1	0.000102827763496144
wasn't	1	0.000102827763496144
was:	1	0.000102827763496144
Was	1	0.000102827763496144
Warren	1	0.000102827763496144
wants.	1	0.000102827763496144
wants	1	0.000102827763496144
want?	1	0.000102827763496144
Want	1	0.000102827763496144
walls.	1	0.000102827763496144
walls	1	0.000102827763496144
walk	1	0.000102827763496144
wait	1	0.000102827763496144
voting;	1	0.000102827763496144
voices,	1	0.000102827763496144
vodka	1	0.000102827763496144
vocabulary	1	0.000102827763496144
visitors	1	0.000102827763496144
Vinod	1	0.000102827763496144
views,	1	0.000102827763496144
view,	1	0.000102827763496144
video	1	0.000102827763496144
vibe.	1	0.000102827763496144
Viaweb	1	0.000102827763496144
very,	1	0.000102827763496144
